Predicate; Input; Output
DivisibleByTwo; [-0.6808705323156952, -0.02146271651112719, -0.9865297438729543, -0.7317857360100888, -0.6825743000365216, -0.36819524796457115, 0.7919294984521827, 0.13420589446675235, 0.4071054322027021, -0.461201207292782]; []
DivisibleByTwo; [-0.32008780838579787, -0.4980477680221964, 0.9923513428855428, -0.09425278806237003, 0.7040636904608082, -0.8265976691937695, 0.6011561179306686, -0.42371271440078195, 0.36461834520986813, -0.31408014927910366]; []
DivisibleByTwo; [0.8564737276815153, -0.9756579066206064, 0.525874368073793, -0.6965905038674456, 0.7029648195916398, 0.5056826447949949, 0.20401749400148006, -0.5590600840800759, 0.9018485093733608, -0.28679289585618384]; []
IsNotNaN; [NaN, -0.4397225634076294, 0.5036387168249743, 0.49386037595043053, NaN, 0.6928862222986278, -0.48169196379870804, NaN, NaN, NaN]; [-0.4397225634076294, 0.5036387168249743, 0.49386037595043053, 0.6928862222986278, -0.48169196379870804]
IsPositive; [-0.6753116311683922, -0.8300461216575608, -0.5962765309001941, 0.952233652658067, -0.5043165806185659, -0.3112590781603133, 0.4353965362507901, 0.7673173509272009, 0.6631327726297753, 0.8311438592257834]; [0.952233652658067, 0.4353965362507901, 0.7673173509272009, 0.6631327726297753, 0.8311438592257834]
DivisibleByTwo; [0.6077985693786838, 0.11472728392665488, -0.1940660968521899, 0.6293057191982763, -0.8400821560295528, 0.27631562787541175, 0.9172936091435671, 0.6832379843890026, -0.7720556428735819, 0.9472314587389301]; []
DivisibleByTwo; [0.3917459709338067, -0.5611427069642279, -0.31268279364496276, 0.16754181564635595, 0.6698398054025763, 0.15510291112329444, -0.603851272943942, -0.07717739025272996, -0.3118357564313359, 0.096573528631972]; []
IsNotNaN; [-0.5527356717873986, 0.7050404731806053, -0.4953541566396902, NaN, -0.4853878091615338, NaN, -0.8961821578594671, 0.12135587905744982, NaN, 0.7777682360310607]; [-0.5527356717873986, 0.7050404731806053, -0.4953541566396902, -0.4853878091615338, -0.8961821578594671, 0.12135587905744982, 0.7777682360310607]
IsNotNaN; [-0.1659738791986407, -0.9950316489196347, -0.8438669173748994, NaN, -0.811696667371518, 0.6480416694899991, 0.495190514667883, 0.16931786120265824, -0.28709244195138384, NaN]; [-0.1659738791986407, -0.9950316489196347, -0.8438669173748994, -0.811696667371518, 0.6480416694899991, 0.495190514667883, 0.16931786120265824, -0.28709244195138384]
IsPositive; [-0.9138035778729228, -0.2459373141722001, 0.7122877014375835, 0.9016870919732571, 0.928579047224807, -0.3113960779590048, -0.8834965139025666, -0.3760127319139088, 0.5083294876412152, 0.7241106513822506]; [0.7122877014375835, 0.9016870919732571, 0.928579047224807, 0.5083294876412152, 0.7241106513822506]
IsPositive; [0.3868935965265521, 0.3589842922541788, -0.9735637914627258, -0.9244268307610011, 0.6580507565682756, 0.9535705195997743, 0.13428668202719218, 0.14294223170806597, -0.5510709535343201, 0.3858746762867469]; [0.3868935965265521, 0.3589842922541788, 0.6580507565682756, 0.9535705195997743, 0.13428668202719218, 0.14294223170806597, 0.3858746762867469]
DivisibleByTwo; [0.13093228082232722, -0.9039985212045871, 0.22317288558733916, 0.9177358588313116, 0.18062565624174076, -0.5126588300453174, -0.16147531812390792, -0.3595791007345719, -0.47494196116319864, 0.739440626511638]; []
IsNotNaN; [-0.5025682468680244, 0.7176019337275046, 0.8932378247769779, 0.3460095665741614, -0.8042594923247119, 0.030000365130340434, NaN, 0.9343765267386417, NaN, 0.6389950593416869]; [-0.5025682468680244, 0.7176019337275046, 0.8932378247769779, 0.3460095665741614, -0.8042594923247119, 0.030000365130340434, 0.9343765267386417, 0.6389950593416869]
IsPositive; [-0.2986046878853945, -0.04514434415796598, 0.40270493765561133, 0.5118823566809332, 0.1581213631087588, 0.6946621600593128, -0.3545718254536827, -0.7106332562466668, -0.3971227887766664, -0.4419124339247138]; [0.40270493765561133, 0.5118823566809332, 0.1581213631087588, 0.6946621600593128]
IsPositive; [-0.10215127903410282, 0.5262514007227248, -0.10921548495417333, 0.11128758757719481, -0.8261652548315781, -0.20081149184219638, -0.11826291109686471, -0.7408253099166819, -0.5112043475409251, -0.6492603708661651]; [0.5262514007227248, 0.11128758757719481]
IsNotNaN; [NaN, -0.8964511987179846, 0.6531388103838882, 0.526887331982381, NaN, NaN, 0.8904736352491338, 0.1655302485375354, 0.6167694738729419, -0.6563208656337052]; [-0.8964511987179846, 0.6531388103838882, 0.526887331982381, 0.8904736352491338, 0.1655302485375354, 0.6167694738729419, -0.6563208656337052]
DivisibleByTwo; [0.302840397355437, 0.3063829751727598, 0.08677575191334475, 0.012446785672562521, 0.7150074360972583, 0.11809486456639284, 0.7144658956809935, -0.730995361763259, 0.7521458794527207, 0.776290642616595]; []
IsPositive; [0.6605765378410795, 0.8659372337785594, 0.1399564188484841, 0.1766271161309383, 0.8739469487525455, 0.5956865391471053, 0.16358879597590814, 0.8298513306330384, -0.7039740651611968, 0.17589446756311977]; [0.6605765378410795, 0.8659372337785594, 0.1399564188484841, 0.1766271161309383, 0.8739469487525455, 0.5956865391471053, 0.16358879597590814, 0.8298513306330384, 0.17589446756311977]
IsNotNaN; [NaN, NaN, -0.7709768189550636, -0.7518867906236695, -0.9376604811519633, 0.7246519644892011, -0.7731026900349667, -0.26371900087127753, NaN, 0.041954755087467266]; [-0.7709768189550636, -0.7518867906236695, -0.9376604811519633, 0.7246519644892011, -0.7731026900349667, -0.26371900087127753, 0.041954755087467266]
IsNotNaN; [NaN, 0.11800376750086228, -0.6522344795968316, -0.10880181158688629, -0.047181533991116575, NaN, 0.9573010554220893, -0.10735205540399018, -0.8226047577932287, NaN]; [0.11800376750086228, -0.6522344795968316, -0.10880181158688629, -0.047181533991116575, 0.9573010554220893, -0.10735205540399018, -0.8226047577932287]
IsPositive; [0.46380528534782384, 0.9794020809768902, -0.8707193242852043, -0.14320390366466618, -0.7249296445243709, -0.21015431980543453, 0.8466868231619544, 0.08881368590944949, 0.20471832137730406, -0.8179523277791656]; [0.46380528534782384, 0.9794020809768902, 0.8466868231619544, 0.08881368590944949, 0.20471832137730406]
IsNotNaN; [NaN, NaN, NaN, 0.44560093252690414, -0.6657433115782567, NaN, NaN, NaN, -0.8072824317780842, 0.883281612708209]; [0.44560093252690414, -0.6657433115782567, -0.8072824317780842, 0.883281612708209]
IsNotNaN; [0.21511503972927404, 0.2634123571888003, -0.8025099295356997, -0.14371950981589587, NaN, 0.10829415409976462, -0.6785702483603011, 0.07773604826034863, 0.38006735677442793, -0.1937179871189607]; [0.21511503972927404, 0.2634123571888003, -0.8025099295356997, -0.14371950981589587, 0.10829415409976462, -0.6785702483603011, 0.07773604826034863, 0.38006735677442793, -0.1937179871189607]
DivisibleByTwo; [0.5077546876005943, 0.6799481967342, 0.741631765432726, 0.0019459985770979848, -0.9057706041079594, 0.13222533759169042, -0.5986622038609135, 0.3659692116843345, -0.08789858158525532, -0.21739483606691867]; []
IsNotNaN; [NaN, 0.5609149668506861, -0.06929764145348094, NaN, NaN, NaN, -0.26536175109888593, -0.2688820964553551, NaN, NaN]; [0.5609149668506861, -0.06929764145348094, -0.26536175109888593, -0.2688820964553551]
IsNotNaN; [0.3490126999654606, 0.6572811306113893, -0.4367094720182214, NaN, -0.030861038559530485, 0.6896429388881566, -0.07831646674519721, 0.913346148354707, NaN, NaN]; [0.3490126999654606, 0.6572811306113893, -0.4367094720182214, -0.030861038559530485, 0.6896429388881566, -0.07831646674519721, 0.913346148354707]
DivisibleByTwo; [-0.6863400183580954, -0.3110324413592118, 0.5144502773823001, -0.2210497437316188, 0.7978654635757383, -0.09863197463413531, 0.585646915691096, 0.6773082135486697, -0.2968742208890187, -0.3192061965023878]; []
DivisibleByTwo; [-0.49574106272322216, -0.09391636374152368, -0.9338891405494498, 0.24542021942017467, -0.3355388010814784, -0.8957462040188615, 0.06012727029300424, -0.49090379399865136, 0.08278187918048019, 0.978420627585036]; []
IsPositive; [-0.8322132452542739, 0.11730558692156201, 0.11036435794541832, -0.6440265561746814, -0.26493785324019115, -0.11862261199914714, 0.4779415206200044, 0.9161941589548599, -0.758491196835418, -0.206133095875773]; [0.11730558692156201, 0.11036435794541832, 0.4779415206200044, 0.9161941589548599]
IsPositive; [0.16162010138126437, -0.6191400836380547, -0.8688047089127708, 0.3334208479284757, 0.7235892301317879, 0.37753883469489513, -0.6288481549314882, 0.6053302830123348, -0.23961740479092208, -0.06708436917475247]; [0.16162010138126437, 0.3334208479284757, 0.7235892301317879, 0.37753883469489513, 0.6053302830123348]
DivisibleByTwo; [-0.9610880644478368, -0.9856348760612192, -0.11766116995051101, -0.3898761053562305, -0.8120133921222785, 0.6293758240735059, -0.7485787223513283, 0.673202568216728, 0.9998782440485414, -0.8254631490127682]; []
IsNotNaN; [0.12057311214911559, 0.3434356308466153, 0.803504733762737, 0.669998687810647, -0.9537003559650872, -0.7935271363712977, -0.07232839593425777, -0.854894937046343, 0.48718566975925337, 0.13577209085779862]; [0.12057311214911559, 0.3434356308466153, 0.803504733762737, 0.669998687810647, -0.9537003559650872, -0.7935271363712977, -0.07232839593425777, -0.854894937046343, 0.48718566975925337, 0.13577209085779862]
IsNotNaN; [-0.4505050979673224, 0.5602222543687962, 0.3545706368691759, -0.2829572642064371, 0.711443072035191, NaN, NaN, -0.9099884660000981, NaN, NaN]; [-0.4505050979673224, 0.5602222543687962, 0.3545706368691759, -0.2829572642064371, 0.711443072035191, -0.9099884660000981]
IsPositive; [-0.41644862694027185, 0.36797179217653664, -0.970825338779955, 0.3794939956478751, 0.12477263357035273, -0.6477816206455917, -0.7347556445070724, -0.7375450571042055, -0.4917608866476657, -0.8723891737361014]; [0.36797179217653664, 0.3794939956478751, 0.12477263357035273]
DivisibleByTwo; [-0.9029063378660416, -0.3064982719643887, 0.298309718541959, 0.30714830554753525, -0.006485706283905657, 0.4252586633021569, 0.8129315784958469, 0.18757989004467412, -0.4181930918187562, 0.945337513601628]; []
DivisibleByTwo; [0.513981675532031, 0.8847151831242126, 0.12518653623214515, 0.6366467230989021, 0.10611394927775009, -0.3637600777494372, -0.5982828383967305, 0.013317240851610013, -0.8455239890451229, 0.891482825777008]; []
IsPositive; [-0.19216504008536095, 0.4846990324234055, -0.9898254328103464, -0.44828021014207886, -0.3557157506986577, 0.2502721011890885, 0.6233844600360607, -0.2187569955733888, 0.4895573397832036, -0.6087926311049165]; [0.4846990324234055, 0.2502721011890885, 0.6233844600360607, 0.4895573397832036]
IsPositive; [-0.5724873883691439, 0.17856165088750942, 0.3256933471383334, 0.9997020566467978, 0.893842227427758, -0.2212563806084884, -0.34644169321093155, -0.7248931919085106, 0.5845999045204302, 0.3520466301162901]; [0.17856165088750942, 0.3256933471383334, 0.9997020566467978, 0.893842227427758, 0.5845999045204302, 0.3520466301162901]
DivisibleByTwo; [-0.7805068534025736, -0.08374971462677183, -0.4265972387126242, 0.7706281021144539, -0.8275169638497595, 0.8522592132684248, -0.04444105896578643, 0.834264356486915, 0.48076598947586024, 0.37956167868549784]; []
IsPositive; [-0.1632899261458618, 0.8776497479682097, 0.2590649179300495, -0.8893478997209361, 0.6668203255172775, -0.2740127041532583, -0.7076068037696361, -0.20941239331710615, 0.07753176149717955, -0.8777773970487863]; [0.8776497479682097, 0.2590649179300495, 0.6668203255172775, 0.07753176149717955]
IsPositive; [0.48964862125939623, -0.9999249909952423, 0.48442190500335514, -0.3815859612503727, -0.7400229670977749, -0.9606006145177259, -0.36828536703827175, -0.8946278859427179, 0.8771519678092021, 0.8753355200607822]; [0.48964862125939623, 0.48442190500335514, 0.8771519678092021, 0.8753355200607822]
IsNotNaN; [NaN, NaN, -0.21801717463924564, NaN, -0.5773743035444345, -0.8928526997595847, -0.5299711247204204, -0.26792147669533817, 0.015616940726008055, NaN]; [-0.21801717463924564, -0.5773743035444345, -0.8928526997595847, -0.5299711247204204, -0.26792147669533817, 0.015616940726008055]
IsPositive; [-0.8783368126662752, -0.12379236957787398, 0.880641204063886, 0.5245576090554152, 0.4537952814949455, 0.774269789125555, -0.9667554391404691, -0.12254794910169675, -0.5926731274142483, -0.41735929651822423]; [0.880641204063886, 0.5245576090554152, 0.4537952814949455, 0.774269789125555]
IsPositive; [0.9882458633848137, -0.9389033519710033, 0.23168172548190702, 0.3524074937458228, -0.5566303063503923, -0.9819314129567231, 0.28751497767241263, 0.12492129981584643, -0.197695129829784, -0.4180846849078068]; [0.9882458633848137, 0.23168172548190702, 0.3524074937458228, 0.28751497767241263, 0.12492129981584643]
IsPositive; [0.46097388517153326, -0.18847607329499727, 0.5213811715262491, 0.24542042207251402, 0.46764687152062057, 0.0931053173297296, -0.6949285469906425, 0.04870662143685789, 0.521604286166848, 0.2880391393098334]; [0.46097388517153326, 0.5213811715262491, 0.24542042207251402, 0.46764687152062057, 0.0931053173297296, 0.04870662143685789, 0.521604286166848, 0.2880391393098334]
DivisibleByTwo; [0.02904231578986849, 0.38435564571142966, 0.8546983249433131, 0.1624340661869188, 0.9354922113110038, 0.44836552088861326, 0.3935575093972754, 0.9945302374355123, -0.8759688517489368, 0.3099076590756873]; []
DivisibleByTwo; [-0.4635258283645183, 0.8554592467035125, -0.3476274051051873, -0.8705151678350138, -0.5803487074629887, 0.03147800295602643, -0.33537784015235705, -0.0757668740278763, -0.6779613258858153, -0.2118231019832013]; []
IsNotNaN; [0.8809656856161303, -0.5392487315343397, 0.9302561361311137, -0.7349466598053189, -0.4889277360534805, 0.3499809761161905, -0.9301349828212655, -0.810767629390494, -0.8054541008218676, 0.22530306309493553]; [0.8809656856161303, -0.5392487315343397, 0.9302561361311137, -0.7349466598053189, -0.4889277360534805, 0.3499809761161905, -0.9301349828212655, -0.810767629390494, -0.8054541008218676, 0.22530306309493553]
IsPositive; [-0.7934839969786209, -0.6899933229146991, -0.07472687754619267, 0.004154518935426177, 0.5302675046850509, 0.9812592176869028, 0.08253075265426957, -0.3348879418260873, -0.24136773992019545, -0.843278061733278]; [0.004154518935426177, 0.5302675046850509, 0.9812592176869028, 0.08253075265426957]
DivisibleByTwo; [-0.3297670656232605, -0.2834708784907565, 0.9286783143440533, -0.7865855093779954, 0.6567128672179159, -0.41054728628202564, 0.3957737637660843, -0.5185014374722474, 0.9109493832224358, 0.5566882096691286]; []
IsNotNaN; [0.016331417762597722, 0.1341725437045267, -0.35283499112452477, NaN, -0.935824567767964, -0.8208769224829073, 0.5182371458015094, 0.5337396732805004, NaN, 0.6934402953448406]; [0.016331417762597722, 0.1341725437045267, -0.35283499112452477, -0.935824567767964, -0.8208769224829073, 0.5182371458015094, 0.5337396732805004, 0.6934402953448406]
IsNotNaN; [-0.46061973780596, 0.8772621878184275, NaN, -0.8432064299750559, 0.8770716737227098, 0.8327757774570381, NaN, 0.7630564831022446, 0.2042102441279825, NaN]; [-0.46061973780596, 0.8772621878184275, -0.8432064299750559, 0.8770716737227098, 0.8327757774570381, 0.7630564831022446, 0.2042102441279825]
DivisibleByTwo; [-0.3165602140659485, -0.07154103291785119, 0.8010120988036247, 0.7521384372113069, 0.6221270955861367, 0.8647365930901054, -0.12783656196558768, 0.8182773111959789, 0.5408778673291486, 0.048635974445269126]; []
IsPositive; [-0.3457339981362384, -0.9944471470156406, 0.4751190021336018, -0.3054725534601799, -0.19637328110534424, 0.780891128818821, 0.9212434279196944, 0.9247660198471219, 0.28295804675884373, -0.4468083523197912]; [0.4751190021336018, 0.780891128818821, 0.9212434279196944, 0.9247660198471219, 0.28295804675884373]
DivisibleByTwo; [-0.30012986099626815, 0.232832185302994, -0.4934281034880519, 0.4900038704561005, -0.7264489143068769, 0.04717485386608655, 0.8571651148145107, 0.6257323089327524, 0.9884684142594655, -0.27093022681575807]; []
DivisibleByTwo; [-0.14668975660563421, -0.9004336965373954, -0.9680692477226829, -0.8243031571306876, 0.22528096969838418, 0.10547030074846142, 0.03224385306653721, -0.6499697235753557, -0.05214258476152156, -0.8067871757884268]; []
IsNotNaN; [-0.8252045907577727, 0.5220272476330752, -0.11772799989608096, 0.9285501863164174, 0.4679601828671709, -0.21901068992863082, 0.09547129858907266, 0.6023251234507487, -0.6353026653731539, 0.46686420917102667]; [-0.8252045907577727, 0.5220272476330752, -0.11772799989608096, 0.9285501863164174, 0.4679601828671709, -0.21901068992863082, 0.09547129858907266, 0.6023251234507487, -0.6353026653731539, 0.46686420917102667]
DivisibleByTwo; [0.15338747261635355, 0.672377498658044, 0.3304764005624121, -0.43135659470818766, -0.27407517893860556, -0.07119203682231734, 0.14543560670217293, 0.8509034820538439, 0.694886244465531, -0.007726105376793413]; []
IsPositive; [-0.2615595330143867, -0.5050705093473311, -0.37792280252557897, -0.31336096197786345, -0.8270232342429276, 0.37874803908237586, -0.08665754043492502, -0.9285623118449029, 0.03957793705126056, 0.7707905255443519]; [0.37874803908237586, 0.03957793705126056, 0.7707905255443519]
